,v202401.1.1,v202401.2.1
Angebot,🔴,🟢
Ansprechpartner,➖,\-
Ausschreibung,🟢,🟢
Buendelvertrag,🟢,🟢
Energiemenge,🟢,🟢
Fremdkosten,🟢,🟢
Geraet,🟢,🟢
Geschaeftspartner,🔴,🟢
Kosten,🟢,🟢
Lastgang,🟢,🟢
Marktlokation,🟡,🟢
Marktteilnehmer,🔴,🟢
Messlokation,🟢,🟢
Person,➕,🟢
Preisblatt,🟢,🟢
PreisblattDienstleistung,🟢,🟢
PreisblattHardware,🟢,🟢
PreisblattKonzessionsabgabe,🟢,🟢
PreisblattMessung,🟢,🟢
PreisblattNetznutzung,🟢,🟢
Rechnung,🟢,🟢
Region,🟢,🟢
Regionaltarif,🟢,🟢
Standorteigenschaften,🟢,🟢
Tarif,🟢,🟢
Tarifinfo,🟢,🟢
Tarifkosten,🟢,🟢
Tarifpreisblatt,🟢,🟢
Vertrag,🟢,🟢
Zaehler,🟢,🟢
Zeitreihe,🟢,🟢
Adresse,🟢,🟢
Angebotsposition,🟢,🟢
Angebotsteil,🟢,🟢
Angebotsvariante,🟢,🟢
AufAbschlag,🟢,🟢
AufAbschlagProOrt,🟢,🟢
AufAbschlagRegional,🟢,🟢
AufAbschlagstaffelProOrt,🟢,🟢
Ausschreibungsdetail,🟢,🟢
Ausschreibungslos,🟢,🟢
Betrag,🟢,🟢
Dienstleistung,🟢,🟢
Energieherkunft,🟢,🟢
Energiemix,🟢,🟢
Fremdkostenblock,🟢,🟢
Fremdkostenposition,🟢,🟢
Geokoordinaten,🟢,🟢
Katasteradresse,🟢,🟢
Kontaktweg,➕,🟢
Konzessionsabgabe,🟢,🟢
Kostenblock,🟢,🟢
Kostenposition,🟢,🟢
KriteriumWert,🟢,🟢
MarktgebietInfo,🟢,🟢
Menge,🟢,🟢
Messlokationszuordnung,🟢,🟢
PositionsAufAbschlag,🟢,🟢
Preis,🟢,🟢
Preisgarantie,🟢,🟢
Preisposition,🟢,🟢
Preisstaffel,🟢,🟢
Rechnungsposition,🟢,🟢
RegionaleGueltigkeit,🟢,🟢
RegionalePreisgarantie,🟢,🟢
RegionalePreisstaffel,🟢,🟢
RegionalerAufAbschlag,🟢,🟢
RegionaleTarifpreisposition,🟢,🟢
Regionskriterium,🟢,🟢
Rufnummer,➖,\-
Sigmoidparameter,🟢,🟢
StandorteigenschaftenGas,🟢,🟢
StandorteigenschaftenStrom,🟢,🟢
Steuerbetrag,🟢,🟢
Tarifberechnungsparameter,🟢,🟢
Tarifeinschraenkung,🟢,🟢
Tarifpreis,🟢,🟢
Tarifpreisposition,🟢,🟢
TarifpreispositionProOrt,🟢,🟢
TarifpreisstaffelProOrt,🟢,🟢
Unterschrift,🟢,🟢
Verbrauch,🟢,🟢
Vertragskonditionen,🟢,🟢
Vertragsteil,🟢,🟢
VerwendungszweckProMarktrolle,🟢,🟢
Zaehlwerk,🟢,🟢
Zaehlzeitregister,🟢,🟢
Zeitraum,🟢,🟢
Zeitreihenwert,🟢,🟢
Zeitspanne,🟢,🟢
Zustaendigkeit,🔴,🟢
AbgabeArt,🟢,🟢
Angebotsstatus,🟢,🟢
Anrede,🟢,🟢
ArithmetischeOperation,🟢,🟢
ArtikelId,🟢,🟢
AufAbschlagstyp,🟢,🟢
AufAbschlagsziel,🟢,🟢
Ausschreibungsportal,🟢,🟢
Ausschreibungsstatus,🟢,🟢
Ausschreibungstyp,🟢,🟢
BDEWArtikelnummer,🟢,🟢
Befestigungsart,🟢,🟢
Bemessungsgroesse,🟢,🟢
Bilanzierungsmethode,🟢,🟢
Dienstleistungstyp,🟢,🟢
Energierichtung,🟢,🟢
